id;statement;description;status;confidence;sort_order;created_date;last_modified_date;solution_id
1;nor;../fake-data/blob/hipster.txt;UNTESTED;53;24107;2026-09-17T10:50:54;2026-09-18T04:03:09;1
2;indeed athwart once;../fake-data/blob/hipster.txt;REFUTED;99;19903;2026-09-18T09:05:51;2026-09-17T13:16:17;2
3;divert from rudely;../fake-data/blob/hipster.txt;TESTING;15;2445;2026-09-17T16:27:29;2026-09-17T13:34:08;3
4;when;../fake-data/blob/hipster.txt;REFUTED;18;15799;2026-09-18T00:55:11;2026-09-18T04:13:26;4
5;after blindly superb;../fake-data/blob/hipster.txt;TESTING;41;22739;2026-09-18T08:49:36;2026-09-18T00:21:06;5
6;silk;../fake-data/blob/hipster.txt;UNTESTED;100;32378;2026-09-17T11:16:34;2026-09-18T03:23:28;6
7;ugh obnoxiously spirit;../fake-data/blob/hipster.txt;SUPPORTED;35;8562;2026-09-17T19:01:19;2026-09-17T11:54:42;7
8;tomatillo;../fake-data/blob/hipster.txt;SUPPORTED;0;30659;2026-09-17T14:55:58;2026-09-17T23:37:08;8
9;whether that;../fake-data/blob/hipster.txt;SUPPORTED;10;24874;2026-09-17T21:39:21;2026-09-17T14:06:39;9
10;masticate instantly;../fake-data/blob/hipster.txt;SUPPORTED;74;3417;2026-09-17T16:21:32;2026-09-17T17:37:11;10
11;creature boo;../fake-data/blob/hipster.txt;UNTESTED;85;15415;2026-09-17T23:13:55;2026-09-17T15:17:47;11
12;sticker;../fake-data/blob/hipster.txt;SUPPORTED;56;12025;2026-09-18T00:07:38;2026-09-18T04:14:46;12
13;eek;../fake-data/blob/hipster.txt;REFUTED;79;7456;2026-09-18T09:25:09;2026-09-18T09:15:15;13
14;because who;../fake-data/blob/hipster.txt;UNTESTED;65;15647;2026-09-17T22:06:36;2026-09-17T14:34:07;14
15;reclassify nectarine;../fake-data/blob/hipster.txt;TESTING;94;15966;2026-09-18T07:35:34;2026-09-18T06:02:45;15
16;woot;../fake-data/blob/hipster.txt;UNTESTED;7;29821;2026-09-17T10:45:27;2026-09-17T13:23:31;16
17;shred strategy up;../fake-data/blob/hipster.txt;TESTING;21;9059;2026-09-17T22:13:59;2026-09-18T06:28:16;17
18;since;../fake-data/blob/hipster.txt;SUPPORTED;84;18392;2026-09-17T13:35:43;2026-09-18T00:09:36;18
19;bend poorly lovingly;../fake-data/blob/hipster.txt;REFUTED;84;24418;2026-09-17T22:00:12;2026-09-18T04:11:34;19
20;excepting permafrost huzzah;../fake-data/blob/hipster.txt;REFUTED;60;14433;2026-09-17T18:57:29;2026-09-18T09:57:48;20
21;apostrophize space;../fake-data/blob/hipster.txt;SUPPORTED;36;14878;2026-09-17T22:03:28;2026-09-17T17:32:19;21
22;hm;../fake-data/blob/hipster.txt;REFUTED;96;13049;2026-09-18T01:24:39;2026-09-18T02:16:10;22
23;bungalow queasily without;../fake-data/blob/hipster.txt;SUPPORTED;78;1184;2026-09-17T19:19:56;2026-09-18T01:30:21;23
24;altruistic woot;../fake-data/blob/hipster.txt;UNTESTED;49;24356;2026-09-17T21:19:38;2026-09-17T16:55:01;24
25;deeply brr outside;../fake-data/blob/hipster.txt;SUPPORTED;42;16178;2026-09-18T08:43:50;2026-09-18T04:35:28;25
26;with;../fake-data/blob/hipster.txt;REFUTED;30;12562;2026-09-17T12:15:49;2026-09-18T07:35:09;26
27;avaricious beside legal;../fake-data/blob/hipster.txt;REFUTED;73;11849;2026-09-17T16:41:21;2026-09-17T13:24:50;27
28;dramatic huzzah yawningly;../fake-data/blob/hipster.txt;TESTING;53;6648;2026-09-17T21:34:13;2026-09-18T07:13:48;28
29;lest;../fake-data/blob/hipster.txt;REFUTED;71;12889;2026-09-17T16:51:20;2026-09-17T12:18:57;29
30;grass pace madly;../fake-data/blob/hipster.txt;TESTING;95;29783;2026-09-17T16:29:24;2026-09-17T12:18:01;30
