id;title;hypothesis;method;success_criteria;status;result;learnings;start_date;end_date;created_date;solution_id
1;amidst;../fake-data/blob/hipster.txt;furthermore brr;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T11:50:26;1
2;commemorate inwardly correctly;../fake-data/blob/hipster.txt;under;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T22:24:05;2
3;garage yahoo about;../fake-data/blob/hipster.txt;before merrily;../fake-data/blob/hipster.txt;COMPLETED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-18T06:59:39;3
4;aha bewail;../fake-data/blob/hipster.txt;characterization mysteriously huzzah;../fake-data/blob/hipster.txt;CANCELLED;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T07:49:35;4
5;gah intent bookend;../fake-data/blob/hipster.txt;unimportant offset;../fake-data/blob/hipster.txt;PLANNED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-18;2026-09-17T20:38:48;5
6;poorly flimsy;../fake-data/blob/hipster.txt;frankly mysteriously;../fake-data/blob/hipster.txt;COMPLETED;REFUTED;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T12:23:52;6
7;gadzooks;../fake-data/blob/hipster.txt;popularize;../fake-data/blob/hipster.txt;PLANNED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T19:48:43;7
8;rowdy without that;../fake-data/blob/hipster.txt;under;../fake-data/blob/hipster.txt;COMPLETED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T08:21:28;8
9;tousle embody;../fake-data/blob/hipster.txt;since until;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-18T03:55:07;9
10;broadly provided;../fake-data/blob/hipster.txt;ouch generously although;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-18;2026-09-18T06:06:42;10
11;vacation;../fake-data/blob/hipster.txt;astride clean around;../fake-data/blob/hipster.txt;PLANNED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T10:31:37;11
