id;question_text;done;sort_order;created_date;opportunity_id
1;drat armoire;false;1466;2026-09-19T04:19:12;1
2;politely;false;9914;2026-09-19T08:09:42;2
3;even pro;false;27379;2026-09-19T01:35:46;3
4;decouple;false;29170;2026-09-19T10:43:55;4
5;anticodon smarten;false;28084;2026-09-18T21:33:27;5
6;blend;true;29672;2026-09-19T01:35:19;6
7;alongside how;false;31324;2026-09-18T11:20:08;7
8;uniform brandish alongside;true;27941;2026-09-18T15:35:10;8
9;lively mmm wherever;false;28586;2026-09-18T19:12:49;9
10;afore ostrich clamp;false;26719;2026-09-18T14:46:02;10
11;taxicab why;false;24494;2026-09-18T11:22:56;11
12;pulse loyally;false;9524;2026-09-19T08:01:02;12
13;plus;false;25217;2026-09-19T06:27:28;13
14;afterwards controvert;false;28810;2026-09-18T11:53:06;14
15;gee around idle;false;8506;2026-09-18T19:43:32;15
16;yet zowie frenetically;false;5840;2026-09-19T10:33:20;16
17;motor outnumber;false;7125;2026-09-19T09:08:35;17
18;duh barge;false;9820;2026-09-19T03:16:19;18
19;abaft graceful purse;true;16983;2026-09-18T22:20:52;19
20;unlike definitive;false;11336;2026-09-18T17:25:11;20
21;unnaturally;false;21017;2026-09-19T10:22:13;21
22;gosh where;false;7194;2026-09-19T07:13:54;22
23;meh;false;3677;2026-09-19T03:39:02;23
24;middle design;true;18105;2026-09-18T17:46:49;24
25;following splash willfully;true;12689;2026-09-19T00:41:37;25
26;unless;true;11757;2026-09-18T23:38:15;26
27;by ill;true;30798;2026-09-19T08:54:08;27
28;remorseful seldom sugary;false;26431;2026-09-19T05:00:35;28
29;guidance;false;27276;2026-09-18T22:48:53;29
30;amount;true;27339;2026-09-19T09:44:23;30
