id;title;description;status;valuerating;priority;sort_order;created_date;last_modified_date;outcome_id
1;along quietly instead;../fake-data/blob/hipster.txt;VALIDATED;5;26;21114;2026-09-17T21:02:33;2026-09-18T09:17:25;1
2;or curly dispense;../fake-data/blob/hipster.txt;VALIDATED;3;14;4900;2026-09-17T13:49:38;2026-09-17T22:12:02;2
3;plus ha diagram;../fake-data/blob/hipster.txt;UNEXPLORED;4;35;11563;2026-09-17T17:28:31;2026-09-17T22:15:42;3
4;ignorant;../fake-data/blob/hipster.txt;PARKED;1;100;5281;2026-09-18T08:07:11;2026-09-18T00:23:14;4
5;strong lined on;../fake-data/blob/hipster.txt;VALIDATED;2;8;28234;2026-09-18T01:34:36;2026-09-18T01:45:47;5
6;midst on;../fake-data/blob/hipster.txt;EXPLORING;1;51;19725;2026-09-17T14:26:02;2026-09-18T07:28:33;6
7;pfft;../fake-data/blob/hipster.txt;UNEXPLORED;2;90;2188;2026-09-17T23:09:31;2026-09-17T17:12:45;7
8;pleasing detain wherever;../fake-data/blob/hipster.txt;UNEXPLORED;2;20;7776;2026-09-17T14:03:24;2026-09-18T02:33:27;8
9;sideboard immediately cop;../fake-data/blob/hipster.txt;VALIDATED;1;39;9757;2026-09-17T11:37:16;2026-09-18T07:44:13;9
10;bossy ack;../fake-data/blob/hipster.txt;EXPLORING;5;97;16155;2026-09-17T23:56:07;2026-09-18T07:01:36;10
11;with;../fake-data/blob/hipster.txt;VALIDATED;5;41;28552;2026-09-17T19:23:53;2026-09-18T06:03:16;11
12;around;../fake-data/blob/hipster.txt;UNEXPLORED;3;90;11423;2026-09-18T08:49:10;2026-09-17T17:51:55;12
13;mid;../fake-data/blob/hipster.txt;VALIDATED;2;28;12529;2026-09-18T01:13:57;2026-09-18T03:47:54;13
14;ah emerge till;../fake-data/blob/hipster.txt;PARKED;3;99;18083;2026-09-17T16:35:45;2026-09-17T22:50:02;14
15;whether;../fake-data/blob/hipster.txt;PARKED;2;92;21894;2026-09-18T08:21:05;2026-09-18T07:04:08;15
16;mostly;../fake-data/blob/hipster.txt;UNEXPLORED;5;8;11967;2026-09-17T14:00:23;2026-09-18T10:06:30;16
17;parched;../fake-data/blob/hipster.txt;VALIDATED;3;11;17574;2026-09-18T03:01:16;2026-09-18T02:03:50;17
18;mad;../fake-data/blob/hipster.txt;UNEXPLORED;2;61;24978;2026-09-18T07:37:35;2026-09-18T02:06:01;18
19;mystify whoa miserable;../fake-data/blob/hipster.txt;EXPLORING;4;95;20998;2026-09-18T01:01:59;2026-09-18T05:18:26;19
20;nucleotidase;../fake-data/blob/hipster.txt;UNEXPLORED;2;81;31713;2026-09-17T15:37:23;2026-09-17T14:50:35;20
21;upon elegantly those;../fake-data/blob/hipster.txt;EXPLORING;2;26;30654;2026-09-17T20:13:29;2026-09-17T12:30:24;21
22;pastel;../fake-data/blob/hipster.txt;UNEXPLORED;4;33;20349;2026-09-17T15:47:28;2026-09-17T10:36:01;22
23;bleach whether;../fake-data/blob/hipster.txt;EXPLORING;4;38;26537;2026-09-18T05:27:01;2026-09-18T07:17:36;23
24;now incidentally notwithstanding;../fake-data/blob/hipster.txt;VALIDATED;4;44;19526;2026-09-18T03:30:39;2026-09-17T16:55:45;24
25;electrify likewise waft;../fake-data/blob/hipster.txt;UNEXPLORED;3;35;22867;2026-09-17T14:13:24;2026-09-17T22:10:17;25
26;despite edge;../fake-data/blob/hipster.txt;EXPLORING;3;36;2045;2026-09-18T10:05:26;2026-09-18T07:52:53;26
27;bob sprinkles;../fake-data/blob/hipster.txt;VALIDATED;5;96;6449;2026-09-17T14:41:39;2026-09-18T07:02:37;27
28;atrium unlike;../fake-data/blob/hipster.txt;PARKED;4;99;10988;2026-09-17T18:32:28;2026-09-18T02:47:39;28
29;lovable wildly yet;../fake-data/blob/hipster.txt;EXPLORING;3;59;13079;2026-09-18T08:28:22;2026-09-17T17:59:54;29
30;ferociously;../fake-data/blob/hipster.txt;EXPLORING;4;62;25491;2026-09-17T19:51:17;2026-09-18T05:11:14;30
