id;name;url;type;sort_order;opportunity_id
1;though;"https://+\";PROTOTYPE;17291;1
2;alongside;"http://k";DESIGN;2304;2
3;kowtow unpleasant;"http://.]2";INTERVIEW;13849;3
4;as;"https://I8";TICKET;5300;4
5;distorted;"https://<vCtx";ANALYTICS;1307;5
6;while reprimand;"http://<";DESIGN;9473;6
7;knowledgeably bore who;"https://q";PROTOTYPE;7563;7
8;whoever;"http://ZS";ANALYTICS;6111;8
9;slide;"http://&H>q";TICKET;26533;9
10;forenenst;"http://G6HBM";DESIGN;12646;10
11;mispronounce pace;"http://?c;5i";ANALYTICS;3525;11
12;inasmuch aw victoriously;"https://!s'r";PROTOTYPE;31146;12
13;premium;"https://d";PROTOTYPE;2249;13
14;irritably switchboard;"http://kvn'=";OTHER;10916;14
15;or out who;"https://A";DESIGN;6956;15
16;amidst rejoin signature;"http://X[u7+";TICKET;4023;16
17;of towards;"https://D;3G";DESIGN;11026;17
18;oof incidentally;"https://3;2";INTERVIEW;29380;18
19;humiliating gloom;"http://0b[W3o";OTHER;8118;19
20;section outside;"https://a";INTERVIEW;3214;20
21;unlearn;"http://I-";ANALYTICS;11319;21
22;give;"https://\GbR";TICKET;32171;22
23;illusion after;"http://FmR*";OTHER;10897;23
24;finally drat;"http://|";OTHER;28403;24
25;positively oxygenate readily;"https://V@C<~";PROTOTYPE;32124;25
26;huff card although;"https://0k7Z)-";PROTOTYPE;21594;26
27;deliberately;"http://7";ANALYTICS;7871;27
28;yet;"http://e";TICKET;19724;28
29;blaring well down;"https://GI~";DOCUMENT;4811;29
30;mid;"http://7f C";ANALYTICS;13860;30
