id;title;description;sort_order;created_date;last_modified_date;product_id
1;how;../fake-data/blob/hipster.txt;6557;2026-09-18T07:27:26;2026-09-17T16:09:03;1
2;fairly;../fake-data/blob/hipster.txt;8724;2026-09-17T12:28:48;2026-09-18T06:47:17;2
3;turbulent;../fake-data/blob/hipster.txt;10056;2026-09-17T13:21:53;2026-09-17T11:53:46;3
4;and hose biodegradable;../fake-data/blob/hipster.txt;6463;2026-09-18T03:44:24;2026-09-18T08:00:07;4
5;even lest;../fake-data/blob/hipster.txt;1345;2026-09-17T11:08:29;2026-09-17T20:32:22;5
6;anxiously boring;../fake-data/blob/hipster.txt;24359;2026-09-17T21:59:45;2026-09-17T21:41:58;6
7;yowza jumbo minus;../fake-data/blob/hipster.txt;19025;2026-09-17T15:58:58;2026-09-17T11:50:11;7
8;although;../fake-data/blob/hipster.txt;30795;2026-09-17T20:35:05;2026-09-17T23:34:25;8
9;as lovely casement;../fake-data/blob/hipster.txt;12292;2026-09-17T12:56:00;2026-09-17T15:42:37;9
10;forenenst insidious;../fake-data/blob/hipster.txt;5987;2026-09-17T21:49:43;2026-09-18T03:18:25;10
11;steeple;../fake-data/blob/hipster.txt;22605;2026-09-18T01:18:33;2026-09-18T04:42:21;11
12;boohoo how;../fake-data/blob/hipster.txt;8794;2026-09-17T19:34:01;2026-09-17T18:56:51;12
13;delight;../fake-data/blob/hipster.txt;24165;2026-09-17T23:13:05;2026-09-18T04:00:43;13
14;wherever synergy;../fake-data/blob/hipster.txt;19408;2026-09-18T02:33:39;2026-09-17T23:08:39;14
15;bliss an wedding;../fake-data/blob/hipster.txt;1283;2026-09-17T20:56:49;2026-09-17T19:18:05;15
16;than ingratiate;../fake-data/blob/hipster.txt;28213;2026-09-18T02:10:02;2026-09-17T16:55:12;16
17;amidst;../fake-data/blob/hipster.txt;20442;2026-09-17T21:05:35;2026-09-18T06:15:56;17
18;unnecessarily;../fake-data/blob/hipster.txt;24945;2026-09-18T02:29:13;2026-09-17T23:09:41;18
19;onto fellow;../fake-data/blob/hipster.txt;18543;2026-09-18T02:41:07;2026-09-17T18:51:34;19
20;gee beneath;../fake-data/blob/hipster.txt;4520;2026-09-17T22:33:32;2026-09-17T11:54:33;20
21;into against although;../fake-data/blob/hipster.txt;21212;2026-09-17T15:25:33;2026-09-17T16:37:45;21
22;greatly tighten permafrost;../fake-data/blob/hipster.txt;21140;2026-09-17T12:37:27;2026-09-17T13:09:02;22
23;courageous well solvency;../fake-data/blob/hipster.txt;21324;2026-09-18T06:34:20;2026-09-18T01:24:47;23
24;versus vaguely;../fake-data/blob/hipster.txt;18328;2026-09-17T17:40:20;2026-09-17T18:46:23;24
25;obediently dimly ah;../fake-data/blob/hipster.txt;22486;2026-09-18T09:54:04;2026-09-17T16:34:27;25
26;huzzah yum hastily;../fake-data/blob/hipster.txt;25750;2026-09-18T07:06:28;2026-09-18T05:24:14;26
27;bashfully lest;../fake-data/blob/hipster.txt;1277;2026-09-17T15:05:11;2026-09-17T16:11:02;27
28;knotty futon;../fake-data/blob/hipster.txt;29534;2026-09-18T03:45:52;2026-09-18T10:10:30;28
29;even broadly;../fake-data/blob/hipster.txt;11207;2026-09-18T02:44:10;2026-09-17T11:16:11;29
30;because abnormally yuck;../fake-data/blob/hipster.txt;28221;2026-09-17T21:35:09;2026-09-18T06:10:50;30
