id;title;description;status;sort_order;created_date;last_modified_date;opportunity_id
1;outlying swing;../fake-data/blob/hipster.txt;CANDIDATE;18613;2026-09-18T03:11:08;2026-09-17T14:55:47;1
2;owlishly rubric fence;../fake-data/blob/hipster.txt;DROPPED;11569;2026-09-17T12:48:24;2026-09-17T10:56:05;2
3;cow reference;../fake-data/blob/hipster.txt;BUILDING;20971;2026-09-18T01:38:40;2026-09-18T06:09:09;3
4;when accentuate;../fake-data/blob/hipster.txt;SHIPPED;7726;2026-09-17T10:32:54;2026-09-17T11:12:39;4
5;trench painfully;../fake-data/blob/hipster.txt;BUILDING;10710;2026-09-17T21:04:45;2026-09-17T19:12:58;5
6;so;../fake-data/blob/hipster.txt;DROPPED;3936;2026-09-17T10:59:20;2026-09-17T17:28:21;6
7;violently freely vastly;../fake-data/blob/hipster.txt;BUILDING;4206;2026-09-17T15:58:05;2026-09-18T04:57:33;7
8;athwart as keenly;../fake-data/blob/hipster.txt;CANDIDATE;12942;2026-09-18T01:51:14;2026-09-18T08:28:13;8
9;fireplace miserably;../fake-data/blob/hipster.txt;CANDIDATE;18289;2026-09-18T04:46:49;2026-09-18T01:33:01;9
10;ick duh since;../fake-data/blob/hipster.txt;BUILDING;13373;2026-09-17T20:29:36;2026-09-18T08:57:38;10
11;discourse;../fake-data/blob/hipster.txt;BUILDING;2060;2026-09-17T13:49:44;2026-09-17T20:19:59;11
12;although seemingly hm;../fake-data/blob/hipster.txt;SHIPPED;18457;2026-09-17T14:27:33;2026-09-17T18:07:03;12
13;shirk openly;../fake-data/blob/hipster.txt;DROPPED;28574;2026-09-17T13:14:03;2026-09-18T00:16:37;13
14;generously;../fake-data/blob/hipster.txt;DROPPED;4443;2026-09-17T11:19:19;2026-09-17T21:35:56;14
15;unless likewise;../fake-data/blob/hipster.txt;CANDIDATE;29087;2026-09-17T14:42:52;2026-09-17T22:53:03;15
16;yuck while;../fake-data/blob/hipster.txt;DROPPED;20732;2026-09-17T13:29:38;2026-09-18T00:55:35;16
17;tut indeed;../fake-data/blob/hipster.txt;BUILDING;14667;2026-09-18T07:20:53;2026-09-17T19:41:10;17
18;whose vanish license;../fake-data/blob/hipster.txt;DROPPED;12467;2026-09-18T06:48:12;2026-09-17T14:58:48;18
19;anenst if punctually;../fake-data/blob/hipster.txt;BUILDING;14645;2026-09-18T09:03:17;2026-09-18T02:15:33;19
20;ouch;../fake-data/blob/hipster.txt;CANDIDATE;4281;2026-09-18T00:12:58;2026-09-18T00:19:32;20
21;decouple consequently;../fake-data/blob/hipster.txt;CANDIDATE;12561;2026-09-17T19:27:30;2026-09-17T21:10:15;21
22;below moor;../fake-data/blob/hipster.txt;DROPPED;21353;2026-09-18T02:47:31;2026-09-18T00:23:01;22
23;when in unexpectedly;../fake-data/blob/hipster.txt;DROPPED;19535;2026-09-18T01:26:57;2026-09-17T16:00:04;23
24;hastily irk orange;../fake-data/blob/hipster.txt;CANDIDATE;23598;2026-09-18T01:10:46;2026-09-18T01:46:31;24
25;needy testify potentially;../fake-data/blob/hipster.txt;CANDIDATE;11193;2026-09-17T20:34:30;2026-09-17T20:08:46;25
26;duh;../fake-data/blob/hipster.txt;DROPPED;13707;2026-09-17T12:56:07;2026-09-17T10:31:34;26
27;aX;../fake-data/blob/hipster.txt;SHIPPED;873;2026-09-18T05:41:36;2026-09-18T02:21:40;27
28;unsteady yahoo;../fake-data/blob/hipster.txt;DROPPED;6481;2026-09-18T00:19:47;2026-09-17T12:14:31;28
29;overload;../fake-data/blob/hipster.txt;CANDIDATE;11659;2026-09-18T04:47:20;2026-09-18T02:08:36;29
30;beside regarding mammoth;../fake-data/blob/hipster.txt;BUILDING;5540;2026-09-18T04:57:08;2026-09-17T14:46:56;30
