id;name;url;type;sort_order;solution_id
1;immediately;"http:///L";TICKET;18607;1
2;formula;"http://D~{8H#";DOCUMENT;10907;2
3;pfft since;"http://oZ(";PROTOTYPE;9128;3
4;impartial till;"https://?3v";TICKET;30811;4
5;moisten deliberately;"https://'H5g";ANALYTICS;31225;5
6;arrogantly;"https://h48\";OTHER;24453;6
7;well-to-do onto;"http://fcWc!]";INTERVIEW;5204;7
8;overconfidently;"https://r9#!n&";TICKET;8016;8
9;which too;"https://=";DESIGN;11162;9
10;trick pantyhose;"https://#ob[";ANALYTICS;29711;10
11;of regal;"http://6^IT";PROTOTYPE;11523;11
12;in;"http://e?\_";DOCUMENT;32585;12
13;bracelet likewise;"http://r2um";DOCUMENT;20117;13
14;positively above;"https://d>";DESIGN;19165;14
15;except once zowie;"http://A^@4";INTERVIEW;20927;15
16;culminate unearth cease;"http://.";INTERVIEW;29833;16
17;nasalise quarterly;"https://2Y";OTHER;10338;17
18;alongside of;"https://'(@R";PROTOTYPE;32495;18
19;bleakly whoa;"https://>A";TICKET;16610;19
20;oh slimy;"https://'@/J i";PROTOTYPE;24184;20
21;before towards jet;"https://O0";TICKET;2745;21
22;verbally neck uselessly;"https://q1\";TICKET;10508;22
23;partially;"http://Yx!5";PROTOTYPE;12522;23
24;extremely;"http://Q3`uc";DESIGN;12711;24
25;notwithstanding cuddly;"http://A5/i";DOCUMENT;26678;25
26;amid usefully;"http://o";OTHER;15312;26
27;good;"https://aN";PROTOTYPE;61;27
28;near;"https://7)w!";OTHER;6245;28
29;calculating;"http://ck?G";DESIGN;4815;29
30;flight cautious;"http://T|x";OTHER;20941;30
