id;name;colour;team_id
1;toward between who;"#Bb4584";1
2;gosh as;"#3B359a";2
3;indeed overcharge;"#BFf9eD";3
4;slink lest er;"#8b192C";4
5;whenever statue;"#c9CdbE";5
6;meh;"#4ED9fc";6
7;ick;"#a6eeeD";7
8;woot secret untried;"#8A19cb";8
9;brightly yahoo;"#C19a3d";9
10;knowingly times zowie;"#FeD6FB";10
11;excluding knottily;"#Cc30fB";11
12;quicker selfishly;"#BFf266";12
13;leading astride;"#2D2507";13
14;next provided over;"#c17F63";14
15;familiar;"#20Dbc4";15
16;dwell er;"#E61AC6";16
17;forsaken opposite reference;"#17cAa1";17
18;giant throughout;"#1aB5cd";18
19;a;"#99Bfbc";19
20;whoa;"#eCbdC2";20
21;dapper;"#C76C00";21
22;minus acidly;"#abEFDF";22
23;pish yahoo thoroughly;"#EbfA9E";23
24;despite however;"#AB6AbD";24
25;by uncomfortable ack;"#48e3cf";25
26;follower;"#FFaFCE";26
27;barring completion;"#fCD9B8";27
28;and;"#3bDbcE";28
29;scout till inside;"#A6FC8f";29
30;postbox oof woot;"#E7f60E";30
